Country,gdp_2018,gdp_per_capita_2018,population_2018,rural_pop_2018,urban_pop_2018,pop_14_2018,pop_15_64_2018,pop_65_2018,pop_female_2018,mortality_2018,surface_area_2018
Panama,65055100000,15575.07255,4176873,32.291,67.709,27.06230432,64.8329646,8.10473108,49.90538365,15.3,75420
Peru,2.22045E+11,6941.235848,31989256,22.093,77.907,25.79060285,66.12100436,8.088392792,50.33775549,14.3,1285220
Philippines,3.3091E+11,3102.713363,106651922,53.093,46.907,30.9630402,63.91439103,5.122568768,49.74165739,28.4,300000
Papua New Guinea,23497607690,2730.274799,8606316,86.831,13.169,35.8159344,60.73879635,3.445269251,48.96272787,47.8,462840
Poland,5.85664E+11,15420.91116,37978548,39.942,60.058,15.05227681,67.42990642,17.51781676,51.53070738,4.4,312680
Puerto Rico,1.01131E+11,31651.34815,3195153,6.422,93.578,16.83608611,64.48906368,18.67485021,52.45009373,nan,8870
Portugal,2.40675E+11,23407.90659,10281762,34.789,65.211,13.45790782,64.58823464,21.95385754,52.71196171,3.7,92225.5957
Paraguay,40496953779,5821.814323,6956071,38.415,61.585,29.4405056,64.12927939,6.430215009,49.15161135,20.2,406751.9922
West Bank and Gaza,14615900000,3198.866644,4569087,23.836,76.164,38.94736128,57.91933298,3.133305737,49.27764427,20.3,6020
Qatar,1.91362E+11,68793.78444,2781677,0.865,99.135,13.54076419,85.08916548,1.370070339,24.49528738,6.8,11610
Romania,2.39553E+11,12301.1864,19473936,46.002,53.998,15.53455496,66.12674365,18.33870139,51.34374306,7.3,238400
Russian Federation,1.65755E+12,11288.87244,144478050,25.567,74.433,17.91408058,67.4112111,14.67470832,53.66176236,7.2,17098250
Rwanda,9508715596,772.9444599,12301939,82.789,17.211,39.97557302,57.0862309,2.938196078,50.86106135,35.3,26340
Saudi Arabia,7.86522E+11,23338.96346,33699947,16.156,83.844,25.04284813,71.64306385,3.314088023,42.44584798,7.1,2149690
Sudan,40851536134,977.2736357,41801533,65.358,34.642,40.50879187,55.91004761,3.581160528,50.04741453,60.5,nan
Senegal,24129599552,1521.953554,15854360,52.808,47.192,43.05543037,53.85774593,3.086823701,51.27732977,43.6,196710
Singapore,3.64157E+11,64581.94402,5638676,0,100,12.27828264,76.25833717,11.46338019,47.65812541,2.8,719.0000153
Sierra Leone,4085114794,533.9911843,7650154,57.945,42.055,41.05963935,55.97380444,2.966556211,50.12127215,105.1,72300
El Salvador,26057000000,4058.252439,6420744,27.977,72.023,27.13208091,64.58082908,8.287090005,53.11400244,13.7,21040
Somalia,4720727278,314.5441657,15008154,55.029,44.971,46.57658407,50.55010499,2.873310943,50.13335021,121.5,637660
Serbia,50597289147,7246.731656,6982084,43.908,56.092,15.68968075,65.96452656,18.34579269,51.00252296,5.5,88360
Slovak Republic,1.05905E+11,19442.70576,5447011,46.274,53.726,15.44613676,68.92461673,15.6292465,51.33833252,5.6,49030
Slovenia,54007972106,26123.97387,2067372,45.459,54.541,15.02177505,65.3713453,19.60687965,50.24520703,2.1,20675
Sweden,5.56086E+11,54608.36025,10183175,12.569,87.431,17.58178546,62.32268961,20.09552493,49.94577617,2.7,447430
Chad,11273115239,728.3432354,15477751,76.941,23.059,47.12629999,50.39318107,2.480518944,50.08489942,119,1284000
Togo,5358722983,679.2570836,7889094,58.298,41.702,41.3345235,55.79600849,2.869468011,50.26804722,69.8,56790
Thailand,5.04993E+11,7273.563207,69428524,50.051,49.949,17.08698882,71.01211804,11.90089314,51.26870461,9.1,513120
Tajikistan,7522947810,826.6215305,9100837,72.866,27.134,36.78428408,60.19382837,3.021887552,49.58383544,34.8,141380
Turkmenistan,40761142857,6966.635411,5850908,48.407,51.593,30.82236394,64.7510016,4.426634462,50.7607374,45.8,488100
Timor-Leste,2581000000,2035.533908,1267972,69.422,30.578,37.78066427,57.90284343,4.316492294,49.45846724,45.8,14870
Trinidad and Tobago,23808146748,17129.91309,1389858,46.816,53.184,20.41957257,68.84547391,10.73495352,50.59132663,18.3,5130
Tunisia,39871132268,3447.50791,11565204,31.055,68.945,24.17012035,67.51420057,8.315679079,50.43715186,17,163610
Turkey,7.7135E+11,9370.176344,82319724,24.857,75.143,24.64941014,66.86737692,8.48321294,50.6778132,10.6,785350
Tanzania,58001200572,1050.675254,56318348,66.224,33.776,44.09823815,53.30046267,2.601299178,50.05101091,53,947300
Uganda,27461440192,642.7767443,42723139,76.226,23.774,46.93052518,51.1284879,1.94098692,50.7760789,46.4,241550
Ukraine,1.30832E+11,3095.173581,44622516,30.648,69.352,15.81241317,67.75290039,16.43468644,53.6877507,8.7,603550
Uruguay,59596885024,17277.97011,3449299,4.666,95.334,20.60798107,64.57749939,14.81451953,51.72154269,7.6,176220
United States,2.05443E+13,62794.58565,327167434,17.744,82.256,18.70903998,65.48330596,15.80765406,50.52001465,6.5,9831510
Uzbekistan,50499921558,1532.371677,32955400,49.522,50.478,28.68605741,66.89480471,4.419137878,50.13735892,21.4,447400
Vietnam,2.45214E+11,2566.59695,95540395,64.081,35.919,23.17267683,69.55234487,7.274978298,50.09640962,20.7,331230
Yemen,26914402224,944.4084994,28498687,63.358,36.642,39.61489027,57.50883997,2.876269756,49.61165749,55,527970
South Africa,3.68289E+11,6374.028196,57779622,33.645,66.355,29.07948915,65.60250585,5.318005005,50.69415038,33.8,1219090
Zambia,26720073436,1539.900158,17351822,56.479,43.521,44.93614116,52.96418082,2.099678026,50.49320776,57.8,752610
Zimbabwe,31000519447,2146.996385,14439018,67.791,32.209,42.40106624,54.65941011,2.939523653,52.35675207,46.2,390760
